"Zipcode","Borough","Households","Margin of Error Households","White","Margin of Error White","Black or African American","Margin of Error Black or African American","American Indian and Alaska Native","Margin of Error American Indian and Alaska Native","Asian","Margin of Error Asian","Hispanic or Latino origin (of any race)","Margin of Error Hispanic or Latino origin (of any race)","White alone, not Hispanic or Latino","Margin of Error White alone, not Hispanic or Latino"
"10001","Manhattan",85221,9970,104914,7996,36974,28080,NA,NA,66023,20982,76399,18515,110598,13807
"10002","Manhattan",35449,2696,72072,7584,23302,6929,21045,7458,26425,3117,25165,4140,88588,6825
"10003","Manhattan",104441,6666,112308,12246,68641,55800,NA,NA,81827,17320,72731,31420,112770,12948
"10004","Manhattan",140450,24948,142543,22072,NA,NA,NA,NA,104529,103771,NA,NA,143103,21732
"10005","Manhattan",154213,33230,181250,22109,157690,95615,NA,NA,103273,37887,194615,152915,181810,27054
"10006","Manhattan",145893,38893,180196,29305,NA,NA,NA,NA,115583,28813,100303,28881,181691,28988
"10007","Manhattan",242644,34299,229141,46311,NA,NA,NA,NA,250000,NA,NA,NA,229609,47531
"10009","Manhattan",60521,5067,85400,7757,19903,5303,73239,8562,36884,25574,27584,5003,97451,6243
"10010","Manhattan",115084,6523,120782,9803,40551,36701,NA,NA,113792,19693,42225,36126,125631,7988
"10011","Manhattan",123208,9801,128038,6320,30321,22364,NA,NA,139388,18286,43429,27370,130755,5021
"10012","Manhattan",104561,5053,114118,7429,102721,73074,NA,NA,56917,18610,104352,16659,114431,8349
"10013","Manhattan",106056,7943,197313,26742,NA,NA,NA,NA,35288,8297,100809,37103,207813,23651
"10014","Manhattan",127973,6894,128359,6807,111761,43121,NA,NA,165688,76708,103750,44273,129320,5856
"10016","Manhattan",109250,7502,108892,9001,NA,NA,NA,NA,118228,15988,46261,15805,115358,11558
"10017","Manhattan",118469,18842,124478,10203,88657,23567,NA,NA,106500,43721,147943,28768,120625,14272
"10018","Manhattan",107861,11868,133056,20230,42404,28497,NA,NA,77431,28705,73988,31134,148542,20522
"10019","Manhattan",99063,5513,102066,4023,40349,22363,75034,39475,113864,27618,46809,9362,106307,7903
"10021","Manhattan",123842,14485,126349,14620,84510,77029,NA,NA,133293,48181,70594,25846,128594,13493
"10022","Manhattan",133208,13874,132252,11435,66661,5037,250000,NA,155421,12679,82939,35178,134297,14987
"10023","Manhattan",123951,8082,133750,10615,40733,23344,NA,NA,105644,27964,78295,9062,137467,11704
"10024","Manhattan",126107,8052,136871,12053,32358,13130,NA,NA,97159,42541,50785,16721,141724,13272
"10025","Manhattan",82352,5144,107067,9326,29006,8104,NA,NA,77763,18893,29264,7252,120407,7809
"10026","Manhattan",54349,4879,102500,7391,38998,5518,NA,NA,77888,30907,36517,5797,115325,11766
"10027","Manhattan",45536,4476,83534,7504,35880,3243,NA,NA,67436,36964,31408,5998,92868,12193
"10028","Manhattan",119203,8470,123279,10347,NA,NA,NA,NA,104801,30460,84231,46737,123506,10679
"10029","Manhattan",34015,1871,47784,5473,27609,2916,15972,14823,40382,10216,25148,2471,83848,6491
"10030","Manhattan",36118,4143,71025,13141,29475,5150,NA,NA,NA,NA,33430,7214,88602,14767
"10031","Manhattan",44040,3145,64957,6344,35295,6531,38157,12983,79185,25913,35631,4756,85902,8475
"10032","Manhattan",41890,3069,55286,8046,34186,4435,NA,NA,70239,11008,33744,4381,80179,12096
"10033","Manhattan",53044,3129,67553,6452,52652,14589,39708,37175,49653,35071,38745,4482,88312,7170
"10034","Manhattan",50909,3377,64229,5992,45726,12806,90588,69095,71542,18036,35904,3518,80526,6309
"10035","Manhattan",27932,2858,43856,11882,25550,4542,NA,NA,70032,29727,20065,2781,71938,17173
"10036","Manhattan",93707,7720,100987,7740,33311,11074,88708,724,117292,26921,38824,12392,104292,10208
"10037","Manhattan",39979,4330,83523,14937,35616,7370,NA,NA,68500,17795,26792,6182,92056,8951
"10038","Manhattan",85032,8068,127846,9973,34104,12605,NA,NA,33125,9929,32824,14663,133890,11759
"10039","Manhattan",34197,4105,51535,3398,32663,5689,28173,12755,70750,62502,28487,3103,69773,20706
"10040","Manhattan",47189,2625,57578,5443,43594,13001,80781,26611,55694,21534,37701,3841,73283,6838
"10044","Manhattan",92623,12998,103500,15157,64524,24956,NA,NA,80744,26362,88164,32298,109325,24264
